Aberdare, Glamorgan, Wales, United Kingdom
Circleville, Piute, Utah, United States
Claresholm, MD of Willow Creek No. 26, Alberta, Canada
Clark, Jefferson, Idaho, United States
Clarkston, Cache, Utah, United States
Clawson, Emery, Utah, United States
Clawson, Teton, Idaho, United States
Clay Springs, Navajo, Arizona, United States
Clearfield, Davis, Utah, United States
Clementsville, Teton, Idaho, United States
Cleveland, Emery, Utah, United States
Cleveland, Franklin, Idaho, United States
Clifton, Franklin, Idaho, United States
Clinton, Davis, Utah, United States
Clover Valley, Lincoln, Nevada, United States
Clover, Tooele, Utah, United States
Cluff, Summit, Utah, United States
Coalville, Summit, Utah, United States
Cody, Park, Wyoming, United States
Coeur d'Alene, Kootenai, Idaho, United States
Cokeville, Lincoln, Wyoming, United States
College Ward, Cache, Utah, United States
Collinston, Box Elder, Utah, United States
Colonia Chuichupa, Chihuahua, Mexico
Colonia Diaz, Chihuahua, Mexico
Colonia Dublan, Chihuahua, Mexico
Colonia Garcia, Chihuahua, Mexico
Colonia Guadalupe, Chihuahua, Mexico
Colonia Juarez, Chihuahua, Mexico
Colonia Morales, Sonora, Mexico
Colonia Oaxaca, Sonora, Mexico
Colonia Pacheco, Chihuahua, Mexico
Colonia San Jose, Sonora, Mexico
Coltman, Bonneville, Idaho, United States
Commerce, Lethbridge County, Alberta, Canada
Common, Bannock, Idaho, United States
Compton, Los Angeles, California, United States
Concho, Apache, Arizona, United States
Copenhagen, Copenhagen, Denmark
Corinne, Box Elder, Utah, United States
Cornish, Cache, Utah, United States
Cortez, Montezuma, Colorado, United States
Cove Creek, Millard, Utah, United States
Cove, Bannock, Idaho, United States
Cove, Cache, Utah, United States
Cove, Union, Oregon, United States
Cowley, Big Horn, Wyoming, United States
Coyote, Garfield, Utah, United States
Crescent, Salt Lake, Utah, United States
Crockett, Contra Costa, California, United States
Croydon, Morgan, Utah, United States
Crystal, Power, Idaho, United States
Cumberland, Lincoln, Wyoming, United States
Curlew, Box Elder, Utah, United States
Cwm Celyn, Monmouthshire, Wales, United Kingdom
Cwmbach, Glamorgan, Wales, United Kingdom
Dallas, Dallas, Texas, United States
Daniel, Wasatch, Utah, United States
Darby, Teton, Idaho, United States
Darlington, Butte, Idaho, United States
Davenport, Scott, Iowa, United States
Dayton, Franklin, Idaho, United States
Declo, Cassia, Idaho, United States
Delhe, Merced, California, United States
Delta, Millard, Utah, United States
Deming, Luna, New Mexico, United States
Dempsey, Bannock, Idaho, United States
Den Helder, North Holland, Netherlands
Denver, Denver, Colorado, United States
Deseret, Millard, Utah, United States
Desert Lake, Emery, Utah, United States
Detroit, Wayne, Michigan, United States
Devils Slide, Morgan, Utah, United States
Deweyville, Box Elder, Utah, United States
Diamondville, Lincoln, Wyoming, United States
Dingle, Bear Lake, Idaho, United States
Donna, Hidalgo, Texas, United States
Douglas Judicial Township, San Joaquin, California, United States
Douglas, Cochise, Arizona, United States
Dowlais, Glamorgan, Wales, United Kingdom
Downey, Bannock, Idaho, United States
Draper, Salt Lake, Utah, United States
Driggs, Teton, Idaho, United States
Drummond, Fremont, Idaho, United States
Duchesne, Duchesne, Utah, United States
Duncan's Retreat, Washington, Utah, United States
Duncan, Greenlee, Arizona, United States
Dundee, Scotland, United Kingdom
Durango, La Plata, Colorado, United States
Eagar, Apache, Arizona, United States
Eagleville, Iron, Utah, United States
East Coalville, Summit, Utah, United States
East Dale, Costilla, Colorado, United States
East Garland, Box Elder, Utah, United States
East Jordan, Salt Lake, Utah, United States
East Los Angeles, Los Angeles, California, United States
Eastdale, Costilla, Colorado, United States
Eastmont, Los Angeles, California, United States
Easton, Weber, Utah, United States
Eaton, Weld, Colorado, United States
Echo, Summit, Utah, United States
Eden, Graham, Arizona, United States
Eden, Weber, Utah, United States
Edmunds, Fremont, Idaho, United States
Egar, Apache, Arizona, United States
Egin, Fremont, Idaho, United States
El Paso, El Paso, Texas, United States
El Segundo, Los Angeles, California, United States
Elba, Cassia, Idaho, United States
Elberfeld, Wuppertal, North Rhine-Westphalia, Germany
Elberta, Utah, Utah, United States
Elfrida, Cochise, Arizona, United States
Elgin, Fremont, Idaho, United States
Elgin, Grand, Utah, United States
Elgin, Union, Oregon, United States
Elko, Elko, Nevada, United States
Elmo, Emery, Utah, United States
Elsinore, Sevier, Utah, United States
Elva, Bingham, Idaho, United States
Elwood, Box Elder, Utah, United States
Ely, White Pine, Nevada, United States
Emerson, Minidoka, Idaho, United States
Emerson, Salt Lake, Utah, United States
Emery, Emery, Utah, United States
Emmett, Gem, Idaho, United States
Empire, Dodge, Georgia, United States
Enoch, Iron, Utah, United States
Enterprise, Morgan, Utah, United States
Enterprise, Washington, Utah, United States
Ephraim, Conejos, Colorado, United States
Ephraim, Sanpete, Utah, United States
Erda, Tooele, Utah, United States
Escalante, Garfield, Utah, United States
Etna, Lincoln, Wyoming, United States
Etna, Siskiyou, California, United States
Eureka, Utah, Utah, United States
Evans, Box Elder, Utah, United States
Evanston, Uinta, Wyoming, United States
Everett, Middlesex, Massachusetts, United States
Everett, Snohomish, Washington, United States
Fair View, Box Elder, Utah, United States
Fair View, Oneida, Idaho, United States
Fairfield, Camas, Idaho, United States
Fairfield, Utah, Utah, United States
Fairmont, Marion, West Virginia, United States
Fairview, Franklin, Idaho, United States
Fairview, Lincoln, Wyoming, United States
Fairview, Sanpete, Utah, United States
Fallon, Marin, California, United States
Farmington, Davis, Utah, United States
Farmington, San Juan, New Mexico, United States
Farnum, Fremont, Idaho, United States
Farr West, Weber, Utah, United States
Fayette, Sanpete, Utah, United States
Ferron, Emery, Utah, United States
Fielding, Box Elder, Utah, United States
Filer, Twin Falls, Idaho, United States
Fillmore, Millard, Utah, United States
Fir Grove, Cassia, Idaho, United States
Firestone Park, Los Angeles, California, United States
Firth, Bingham, Idaho, United States
Fish Haven, Bear Lake, Idaho, United States
Flagstaff, Coconino, Arizona, United States
Flowell, Millard, Utah, United States
Fort Bridger, Uinta, Wyoming, United States
Fort Duchesne, Uintah, Utah, United States
Fort Johnson, Iron, Utah, United States
Fort Sill, Comanche, Oklahoma, United States
Fort Thomas, Graham, Arizona, United States
Fort Worth, Tarrant, Texas, United States
Fountain Green, Sanpete, Utah, United States
Francis, Summit, Utah, United States
Frankburg, Foothills County, Alberta, Canada
Franklin, Franklin, Idaho, United States
Franklin, Greenlee, Arizona, United States
Franktown, Douglas, Colorado, United States
Fredonia, Coconino, Arizona, United States
Freedom, Lasselle, Illinois, United States
Freedom, Lincoln, Wyoming, United States
Freedom, Sanpete, Utah, United States
Freiberg, Mittelsachsen, Saxony, Germany
Fremont, Wayne, Utah, United States
Fresno, Fresno, California, United States
Fruita, Wayne, Utah, United States
Fruitland, San Juan, New Mexico, United States
Fullerton, Orange, California, United States
Gannett, Blaine, Idaho, United States
Garden City, Rich, Utah, United States
Garden Creek, Bannock, Idaho, United States
Garfield, Jefferson, Idaho, United States
Garfield, Salt Lake, Utah, United States
Garland, Box Elder, Utah, United States
Garland, Park, Wyoming, United States
Geneva, Bear Lake, Idaho, United States
Gentile Valley, Franklin, Idaho, United States
Georgetown, Bear Lake, Idaho, United States
Georgetown, Kane, Utah, United States
Geronimo, Graham, Arizona, United States
Gilbert, Maricopa, Arizona, United States
Giles, Wayne, Utah, United States
Gilmer, Upshur, Texas, United States
Glasgow, Valley, Montana, United States
Glen Huon, Tasmania, Australia
Glenbar, Graham, Arizona, United States
Glencoe, Bear Lake, Idaho, United States
Glencoe, Lincoln, Wyoming, United States
Glendale, Franklin, Idaho, United States
Glendale, Kane, Utah, United States
Glendale, Los Angeles, California, United States
Glendale, Maricopa, Arizona, United States
Glenwood, Cardston County, Alberta, Canada
Glenwood, Sevier, Utah, United States
Glines, Uintah, Utah, United States
Globe, Gila, Arizona, United States
Glückstadt, Steinburg, Schleswig-Holstein, Germany
Goldsboro, Wayne, North Carolina, United States
Gooding, Gooding, Idaho, United States
Goshen, Bingham, Idaho, United States
Goshen, Utah, Utah, United States
Grace, Caribou, Idaho, United States
Grafton, Washington, Utah, United States
Graham, Graham, Arizona, United States
Grahamstown, Albany, Cape Province, South Africa
Grand Junction, Mesa, Colorado, United States
Granger, Salt Lake, Utah, United States
Granite, Salt Lake, Utah, United States
Grant, Jefferson, Idaho, United States
Grantsville, Tooele, Utah, United States
Grass Creek, Summit, Utah, United States
Grass Valley, Washington, Utah, United States
Grassy Lake, MD of Taber, Alberta, Canada
Gray, Bonneville, Idaho, United States
Grayson, San Juan, Utah, United States
Great Falls, Cascade, Montana, United States
Green River, Carbon, Utah, United States
Green River, Sweetwater, Wyoming, United States
Greenville, Beaver, Utah, United States
Greenville, Cache, Utah, United States
Greenwich, Piute, Utah, United States
Greer, Apache, Arizona, United States
Gridley, Butte, California, United States
Groningen, Groningen, Netherlands
Grouse Creek, Box Elder, Utah, United States
Groveland, Bingham, Idaho, United States
Grover, Lincoln, Wyoming, United States
Grover, Wayne, Utah, United States
Grovont, Lincoln, Wyoming, United States
Gunlock, Washington, Utah, United States
Gunnison, Sanpete, Utah, United States
Gwenford, Oneida, Idaho, United States
Gävle, Gävleborg, Sweden
Haden, Teton, Idaho, United States
Hageman, Gooding, Idaho, United States
Hagerman, Lincoln, Nevada, United States
Haifa, Israel
Hailey, Blaine, Idaho, United States
Hamblin, Washington, Utah, United States
Hamilton, Ontario, Canada
Hamilton, Ravalli, Montana, United States
Hamiltons Fort, Iron, Utah, United States
Hammersmith, London, England, United Kingdom
Hanksville, Wayne, Utah, United States
Hanna, Duchesne, Utah, United States
Hannibal, Marion, Missouri, United States
Hannover, Hannover, Prussia, Germany
Haralson, Coweta, Georgia, United States
Harlem, Blaine, Montana, United States
Harper, Box Elder, Utah, United States
Harrisburg, Washington, Utah, United States
Harrisville, Weber, Utah, United States
Hartfort, Snohomish, Washington, United States
Hartleyville, Cardston County, Alberta, Canada
Hatch, Caribou, Idaho, United States
Hatch, Garfield, Utah, United States
Hatton, Millard, Utah, United States
Haverfordwest, Pembrokeshire, Wales, United Kingdom
Hawkins, Bannock, Idaho, United States
Hayden, Fremont, Idaho, United States
Hayden, Gila, Arizona, United States
Hayden, Uintah, Utah, United States
Hazel, Cassia, Idaho, United States
Hazelton, Jerome, Idaho, United States
Hazlehurst, Jeff Davis, Georgia, United States
Heber, Wasatch, Utah, United States
Heber-Overgaard, Navajo, Arizona, United States
Hebron, Washington, Utah, United States
Helena, Lewis and Clark, Montana, United States
Helper, Carbon, Utah, United States
Heman, Fremont, Idaho, United States
Henderson, Garfield, Utah, United States
Henefer, Summit, Utah, United States
Henrieville, Garfield, Utah, United States
Herbert, Madison, Idaho, United States
Herriman, Salt Lake, Utah, United States
Heyburn, Minidoka, Idaho, United States
Hibbard, Madison, Idaho, United States
Highland, Utah, Utah, United States
Hill Spring, Cardston County, Alberta, Canada
Hilliard, Uinta, Wyoming, United States
Hillsdale, Garfield, Utah, United States
Hinckley, Millard, Utah, United States
Holbrook, Navajo, Arizona, United States
Holbrook, Oneida, Idaho, United States
Holden, Millard, Utah, United States
Holladay, Salt Lake, Utah, United States
Home Gardens, Riverside, California, United States
Honeyville, Box Elder, Utah, United States
Honolulu, Oahu, Hawaii, United States
Hood River, Hood River, Oregon, United States
Hooper, Weber, Utah, United States
Hot Springs, Box Elder, Utah, United States
Howell, Box Elder, Utah, United States
Hoytsville, Summit, Utah, United States
Hubbard, Graham, Arizona, United States
Hunter, Salt Lake, Utah, United States
Huntington Park, Los Angeles, California, United States
Huntington, Emery, Utah, United States
Huntsville, Weber, Utah, United States
Hurricane, Washington, Utah, United States
Hyde Park, Cache, Utah, United States
Hyrum, Cache, Utah, United States
Ibapah, Tooele, Utah, United States
Idaho Falls, Bonneville, Idaho, United States
Imbler, Union, Oregon, United States
Independence, Jackson, Missouri, United States
Independence, Madison, Idaho, United States
Indianapolis, Marion, Indiana, United States
Indianola, Sanpete, Utah, United States
Inglewood, Los Angeles, California, United States
Inkom, Bannock, Idaho, United States
Ioka, Duchesne, Utah, United States
Iona, Bonneville, Idaho, United States
Iosepa, Tooele, Utah, United States
Iron City, Iron, Utah, United States
Irwin, Bonneville, Idaho, United States
Island Park, Fremont, Idaho, United States
Island, Cassia, Idaho, United States
Ivins, Washington, Utah, United States
Jackson, Jackson, Michigan, United States
Jackson, Lincoln, Wyoming, United States
Jackson, Teton, Wyoming, United States
Jacksonville, Duval, Florida, United States
Jameston, Bingham, Idaho, United States
Jensen, Uintah, Utah, United States
Jerome, Jerome, Idaho, United States
Johnson, Kane, Utah, United States
Jordan, Salt Lake, Utah, United States
Joseph City, Navajo, Arizona, United States
Joseph, Sevier, Utah, United States
Juab, Juab, Utah, United States
Junction, Piute, Utah, United States
Juniper, Oneida, Idaho, United States
Juárez, Juárez, Chihuahua, Mexico
Kaliningrad, Kaliningrad, Russia
Kamas, Summit, Utah, United States
Kanab, Kane, Utah, United States
Kanarraville, Iron, Utah, United States
Kane, Big Horn, Wyoming, United States
Kanesville, Weber, Utah, United States
Kanosh, Millard, Utah, United States
Kansas City, Jackson, Missouri, United States
Karibib, Karibib, Erongo, Namibia
Kaysville, Davis, Utah, United States
Kemmerer, Uinta, Wyoming, United States
Kenilworth, Carbon, Utah, United States
Kent, King, Washington, United States
Kilgore, Clark, Idaho, United States
Kimball, Bingham, Idaho, United States
Kimball, Cardston County, Alberta, Canada
Kimberly, Twin Falls, Idaho, United States
Kingston Fort, Davis, Utah, United States
Kingston, Piute, Utah, United States
Kingston, Ulster, New York, United States
Kirtland, San Juan, New Mexico, United States
Kline, La Plata, Colorado, United States
Knight, Uinta, Wyoming, United States
Knightville, Juab, Utah, United States
Koosharem, Sevier, Utah, United States
Kuna, Ada, Idaho, United States
Köln, North Rhine-Westphalia, Germany
La Grande, Union, Oregon, United States
La Jara, Conejos, Colorado, United States
La Plata, La Plata, Colorado, United States
La Sal, San Juan, Utah, United States
La Verkin, Washington, Utah, United States
Labelle, Fremont, Idaho, United States
Lago, Caribou, Idaho, United States
Lake Point, Tooele, Utah, United States
Lake Shore, Utah, Utah, United States
Lake View, Tooele, Utah, United States
Lakeside, Navajo, Arizona, United States
Laketown, Rich, Utah, United States
Lanark, Bear Lake, Idaho, United States
Lankershim, Los Angeles, California, United States
Lapoint, Uintah, Utah, United States
Lark, Salt Lake, Utah, United States
Las Vegas, Clark, Nevada, United States
Lausanne, Vaud, Switzerland
Lava Hot Springs, Bannock, Idaho, United States
Lawrence, Emery, Utah, United States
Layton, Davis, Utah, United States
Leamington, Millard, Utah, United States
Leavenworth, Leavenworth, Kansas, United States
Leavitt, Cardston County, Alberta, Canada
Lebanon, Graham, Arizona, United States
Leduc, Alturas, Idaho, United States
Lee, Morgan, Utah, United States
Leeds, Washington, Utah, United States
Lees Ferry, Coconino, Arizona, United States
Lehi, Maricopa, Arizona, United States
Lehi, Utah, Utah, United States
Leigh, Fremont, Idaho, United States
Leland, Utah, Utah, United States
Leorin, Bingham, Idaho, United States
Leota, Uintah, Utah, United States
Leslie, Custer, Idaho, United States
Letha, Gem, Idaho, United States
Lethbridge, Alberta, Canada
Levan, Juab, Utah, United States
Lewiston, Cache, Utah, United States
Lewisville, Jefferson, Idaho, United States
Liberty, Bear Lake, Idaho, United States
Liberty, Uintah, Utah, United States
Liberty, Weber, Utah, United States
Lima, Beaverhead, Montana, United States
Lincoln, Bonneville, Idaho, United States
Lincoln, Tooele, Utah, United States
Linden, Navajo, Arizona, United States
Lindon, Utah, Utah, United States
Littlefield, Mohave, Arizona, United States
Littleton, Morgan, Utah, United States
Loa, Wayne, Utah, United States
Logan, Cache, Utah, United States
Logandale, Clark, Nevada, United States
London, England, United Kingdom
Long Beach, Los Angeles, California, United States
Lordsburg, Hidalgo, New Mexico, United States
Lorenzo, Jefferson, Idaho, United States
Los Angeles, Los Angeles, California, United States
Los Cerritos, Conejos, Colorado, United States
Lost River, Butte, Idaho, United States
Lovell, Big Horn, Wyoming, United States
Lovendahl, Salt Lake, Utah, United States
Lowell, Cochise, Arizona, United States
Loyalton, Sierra, California, United States
Lubbock, Lubbock, Texas, United States
Luna, Catron, New Mexico, United States
Lund, Caribou, Idaho, United States
Lund, Lund, Skåne, Sweden
Lund, White Pine, Nevada, United States
Lyman, Madison, Idaho, United States
Lyman, Uinta, Wyoming, United States
Lyman, Wayne, Utah, United States
Lynn, Box Elder, Utah, United States
Lynndyl, Millard, Utah, United States
Macdoel, Siskiyou, California, United States
Machynlleth, Montgomeryshire, Wales, United Kingdom
Mackay, Custer, Idaho, United States
Maeser, Uintah, Utah, United States
Magna, Salt Lake, Utah, United States
Magrath, Cardston County, Alberta, Canada
Malad, Oneida, Idaho, United States
Malmö, Malmö, Skåne, Sweden
Malta, Cassia, Idaho, United States
Mammoth, Juab, Utah, United States
Manard Precinct, Blaine, Idaho, United States
Manassa, Conejos, Colorado, United States
Mancos, Montezuma, Colorado, United States
Manhattan, New York City, New York, United States
Manila, Daggett, Utah, United States
Manti, Sanpete, Utah, United States
Mantua, Box Elder, Utah, United States
Mapleton, Franklin, Idaho, United States
Mapleton, Utah, Utah, United States
Marianna, Jackson, Florida, United States
Marion, Cassia, Idaho, United States
Marion, Summit, Utah, United States
Marley, Lincoln, Idaho, United States
Marriott-Slaterville, Weber, Utah, United States
Marsh Center, Bannock, Idaho, United States
Marsh Valley, Bannock, Idaho, United States
Marysvale, Piute, Utah, United States
Marysville, Fremont, Idaho, United States
Marysville, Yuba, California, United States
Matachí, Matachí, Chihuahua, Mexico
Mayfield, Sanpete, Utah, United States
Maywood, Los Angeles, California, United States
McCammon, Bannock, Idaho, United States
McGill, White Pine, Nevada, United States
McKinley Township, Ward, North Dakota, United States
McPherson, McPherson, Kansas, United States
Meadow, Millard, Utah, United States
Meadowville, Rich, Utah, United States
Meeteetse, Park, Wyoming, United States
Melba, Canyon, Idaho, United States
Menan, Jefferson, Idaho, United States
Mendon, Cache, Utah, United States
Mercur, Tooele, Utah, United States
Meridian, Ada, Idaho, United States
Merrill, Bannock, Idaho, United States
Merthyr Tydfil, Glamorgan, Wales, United Kingdom
Mesa, Maricopa, Arizona, United States
Mesquite, Clark, Nevada, United States
Metropolis, Elko, Nevada, United States
Miami, Gila, Arizona, United States
Middleton, Washington, Utah, United States
Midvale, Salt Lake, Utah, United States
Midview, Duchesne, Wasatch, Utah, United States
Midway, Wasatch, Utah, United States
Milburn, Sanpete, Utah, United States
Milford, Beaver, Utah, United States
Millburne, Uinta, Wyoming, United States
Millcreek, Salt Lake, Utah, United States
Miller, Salt Lake, Utah, United States
Millville, Cache, Utah, United States
Milo, Bonneville, Idaho, United States
Milston, Jackson, Wisconsin, United States
Milton, Morgan, Utah, United States
Milwaukee, Milwaukee, Wisconsin, United States
Minersville, Beaver, Utah, United States
Mink Creek, Franklin, Idaho, United States
Minneapolis, Hennepin, Minnesota, United States
Moab, Grand, Utah, United States
Moapa, Clark, Nevada, United States
Moccasin, Mohave, Arizona, United States
Modesto, Stanislaus, California, United States
Mohrland, Emery, Utah, United States
Molen, Emery, Utah, United States
Mona, Juab, Utah, United States
Monkton, Pembrokeshire, Wales, United Kingdom
Monroe, Sevier, Utah, United States
Montague, Siskiyou, California, United States
Montebello, Los Angeles, California, United States
Monticello, San Juan, Utah, United States
Montpelier, Bear Lake, Idaho, United States
Moore, Butte, Idaho, United States
Moore, Emery, Utah, United States
Moreland, Bingham, Idaho, United States
Morgan, Morgan, Utah, United States
Morganville, Conejos, Colorado, United States
Moroni, Sanpete, Utah, United States
Moulton, Box Elder, Utah, United States
Mount Carmel, Kane, Utah, United States
Mount Emmons, Duchesne, Utah, United States
Mount Emmons, Wasatch, Utah, United States
Mount Glen, Union, Oregon, United States
Mount Hebron, Siskiyou, California, United States
Mount Pleasant, Sanpete, Utah, United States
Mount Sterling, Cache, Utah, United States
Mount Trumbull, Mohave, Arizona, United States
